dataset,seed,method,auc_roc,neg_brier,cv_lambda
fri_c3_500_5,0,Coopetitive-0.5,0.9819349658771578,-0.06615452071291865,0.7
fri_c3_500_5,0,Coopetitive-CV,0.979124849458049,-0.07063946638975756,0.7
fri_c3_500_5,1,Equal,0.9655448717948718,-0.0843394604698341,0.6
fri_c3_500_5,1,Individual-Only,0.966346153846154,-0.07969718512051217,0.6
fri_c3_500_5,1,Interaction-Only,0.8930288461538463,-0.15662399071717562,0.6
fri_c3_500_5,1,Coopetitive-0.5,0.9663461538461539,-0.07662588357606459,0.6
fri_c3_500_5,1,Coopetitive-CV,0.9667467948717948,-0.07677890576521822,0.6
fri_c3_500_5,2,Equal,0.9823364110798877,-0.0670445188752883,0.0
fri_c3_500_5,2,Individual-Only,0.9823364110798877,-0.06383281733494113,0.0
fri_c3_500_5,2,Interaction-Only,0.9193095142513047,-0.14870081185780207,0.0
fri_c3_500_5,2,Coopetitive-0.5,0.9847450822962666,-0.05618190696616861,0.0
fri_c3_500_5,2,Coopetitive-CV,0.9819349658771578,-0.05671148852672745,0.0
fri_c3_500_5,3,Equal,0.9534323564833401,-0.09642569447369966,0.7
fri_c3_500_5,3,Individual-Only,0.9546366920915296,-0.09160336142858029,0.7
fri_c3_500_5,3,Interaction-Only,0.8590927338418306,-0.1605142117820419,0.7
fri_c3_500_5,3,Coopetitive-0.5,0.955841027699719,-0.08863149001165159,0.7
fri_c3_500_5,3,Coopetitive-CV,0.9586511441188279,-0.08816094106953237,0.7
fri_c3_500_5,4,Equal,0.9702930549979928,-0.08195765834601292,0.6
fri_c3_500_5,4,Individual-Only,0.9698916097952629,-0.07619333652782177,0.6
fri_c3_500_5,4,Interaction-Only,0.8980329185066238,-0.15485212312740831,0.6
fri_c3_500_5,4,Coopetitive-0.5,0.9686872741870735,-0.0731220021161568,0.6
fri_c3_500_5,4,Coopetitive-CV,0.9686872741870735,-0.07440077850636667,0.6
fri_c2_500_50,0,Equal,0.8590326581231914,-0.15073558411202226,1.0
fri_c2_500_50,0,Individual-Only,0.9007854485324515,-0.12946922922002296,1.0
fri_c2_500_50,0,Interaction-Only,0.7618850764778835,-0.19793672367685422,1.0
fri_c2_500_50,0,Coopetitive-0.5,0.9293096320793717,-0.10505225985268954,1.0
fri_c2_500_50,0,Coopetitive-CV,0.9334435717238528,-0.10153067180065128,1.0
fri_c2_500_50,1,Equal,0.8247209590739976,-0.16640112530849843,0.8
fri_c2_500_50,1,Individual-Only,0.8524183546920214,-0.1540868356890245,0.8
fri_c2_500_50,1,Interaction-Only,0.690781314592807,-0.22523422509529317,0.8
fri_c2_500_50,1,Coopetitive-0.5,0.9082265398925174,-0.11220319569932441,0.8
fri_c2_500_50,1,Coopetitive-CV,0.909466721785862,-0.11159638194886823,0.8
fri_c2_500_50,2,Equal,0.8941711451012815,-0.13498577942888348,0.4
fri_c2_500_50,2,Individual-Only,0.9152542372881356,-0.12122479365495822,0.4
fri_c2_500_50,2,Interaction-Only,0.795369987598181,-0.18602105359770427,0.4
fri_c2_500_50,2,Coopetitive-0.5,0.9499793303017776,-0.09281453279244913,0.4
fri_c2_500_50,2,Coopetitive-CV,0.9499793303017776,-0.09372083771649406,0.4
fri_c2_500_50,3,Equal,0.9384042992972301,-0.11577654828711852,1.0
fri_c2_500_50,3,Individual-Only,0.9536998759818107,-0.09599214398841738,1.0
fri_c2_500_50,3,Interaction-Only,0.8573790822653989,-0.1564970893190342,1.0
fri_c2_500_50,3,Coopetitive-0.5,0.9661016949152542,-0.062224436934789955,1.0
fri_c2_500_50,3,Coopetitive-CV,0.9673418768085986,-0.05615312215794168,1.0
fri_c2_500_50,4,Equal,0.8536585365853658,-0.15427203559884714,0.0
fri_c2_500_50,4,Individual-Only,0.8846630839189747,-0.13760115632542372,0.0
fri_c2_500_50,4,Interaction-Only,0.746176105828855,-0.20147884342198158,0.0
fri_c2_500_50,4,Coopetitive-0.5,0.9235221165770979,-0.10650510675219733,0.0
fri_c2_500_50,4,Coopetitive-CV,0.9198015708970648,-0.11014888132783165,0.0
fri_c0_500_25,0,Equal,0.8939575830332132,-0.13901549884816056,0.8
fri_c0_500_25,0,Individual-Only,0.8995598239295718,-0.13571017581215766,0.8
