dataset,seed,mono_rate,flagged_models,gc_optimal,v_grand,v_max,has_signal,coverage,rank_stability
fri_c2_500_5,1,0.4,"LR,SVM,KNN",False,0.9525,0.9779166666666665,True,-3.85220994475138,0.9999999999999999
fri_c2_500_5,2,0.2875,"LR,XGB",False,0.9677552707730467,0.9793303017775941,True,-3.614228899690679,0.9999999999999999
fri_c2_500_5,3,0.3,LR,False,0.9772633319553534,0.9822240595287308,True,-3.784755305326981,0.9999999999999999
fri_c2_500_5,4,0.225,KNN,False,0.9677552707730467,0.9739561802397686,True,-3.4922669023420245,0.9999999999999999
fri_c1_500_25,0,0.5125,"LR,SVM,KNN",False,0.8932155760738659,0.9550381372942593,True,-1.7034201123021944,0.9999999999999999
fri_c1_500_25,1,0.4875,"LR,SVM,KNN",False,0.9384057971014493,0.9681964573268921,True,-2.8264462809917346,0.9999999999999999
fri_c1_500_25,2,0.5125,"LR,SVM,KNN",False,0.8378161380971496,0.9064632677639503,True,-2.5977421271538934,0.9999999999999999
fri_c1_500_25,3,0.5,"LR,SVM,KNN",False,0.8984343637093537,0.9369731031714171,True,-2.42015113350126,0.9999999999999999
fri_c1_500_25,4,0.475,"LR,SVM,KNN",False,0.8823765556001606,0.9443998394219189,True,-2.8204724409448816,0.9999999999999999
fri_c2_500_25,0,0.4875,"LR,SVM,KNN",False,0.8692728036990331,0.9688944934846574,True,-2.507114399544677,0.9999999999999999
fri_c2_500_25,1,0.4875,"LR,SVM,KNN",False,0.9092055485498108,0.9625893232450609,True,-2.4288649203903443,0.9999999999999999
fri_c2_500_25,2,0.5,"LR,SVM,KNN",False,0.8818831441782261,0.9361076082387557,True,-2.1095211887727023,0.9999999999999999
fri_c2_500_25,3,0.4875,"LR,SVM,KNN",False,0.7864649012189996,0.8991172761664565,True,-2.731474688187821,0.9999999999999999
fri_c2_500_25,4,0.5,"LR,SVM,KNN",False,0.9188734762505254,0.9697351828499369,True,-2.1761164074259893,0.9999999999999999
fri_c0_500_50,0,0.3625,"LR,KNN",False,0.9231692677070829,0.9387755102040817,True,-3.9163120567375924,0.9999999999999999
fri_c0_500_50,1,0.45,"LR,SVM,KNN",False,0.8567426970788315,0.8967587034813925,True,-4.160964666292767,0.9999999999999999
fri_c0_500_50,2,0.15,RF,False,0.9427771108443378,0.9443777511004402,True,-3.972887483054678,0.9999999999999999
fri_c0_500_50,3,0.4125,"LR,KNN",False,0.8791516606642656,0.8955582232893157,True,-3.5440633245382585,0.9999999999999999
fri_c0_500_50,4,0.3625,"LR,KNN",False,0.9191676670668266,0.9399759903961585,True,-4.128878281622913,0.9999999999999999
no2,0,0.425,"LR,SVM,KNN",False,0.652,0.665,True,-2.5315789473684207,0.9999999999999999
no2,1,0.35,"SVM,KNN",False,0.6264000000000001,0.642,True,-1.8686708860759456,0.9999999999999999
no2,2,0.45,"LR,SVM,KNN",False,0.6572,0.6806000000000001,True,-2.1666666666666683,0.9999999999999999
no2,3,0.325,"LR,XGB",False,0.6876,0.712,True,-3.8134328358208935,0.9999999999999999
no2,4,0.3375,"LR,KNN",False,0.7440000000000001,0.7654,True,-2.439344262295079,0.9999999999999999
fri_c0_500_10,0,0.3375,"SVM,KNN",False,0.9499198717948718,0.9555288461538461,True,-4.319234194122884,0.9999999999999999
fri_c0_500_10,1,0.2625,KNN,False,0.9499198717948717,0.952323717948718,True,-4.444790739091719,0.9999999999999999
fri_c0_500_10,2,0.4,"LR,KNN",False,0.9747596153846152,0.9899839743589743,True,-4.467510548523208,0.9999999999999999
fri_c0_500_10,3,0.5125,"LR,SVM,KNN",False,0.8798076923076923,0.9206730769230769,True,-4.176160337552743,0.9999999999999999
fri_c0_500_10,4,0.3625,"SVM,KNN",False,0.9535256410256411,0.9623397435897436,True,-4.321554770318021,0.9999999999999999
fri_c1_500_10,0,0.475,"LR,SVM,KNN",False,0.9555555555555555,0.9826262626262626,True,-3.4057649667405783,0.9999999999999999
fri_c1_500_10,1,0.5,"LR,SVM,KNN",False,0.9361616161616161,0.9717171717171718,True,-2.496526169522929,0.9999999999999999
fri_c1_500_10,2,0.4375,"LR,SVM,KNN",False,0.9422222222222222,0.9725252525252526,True,-3.190497944266787,0.9999999999999999
fri_c1_500_10,3,0.4875,"LR,SVM,KNN",False,0.9054545454545455,0.96,True,-3.2277030393622312,0.9999999999999999
fri_c1_500_10,4,0.4125,"LR,SVM",False,0.9042424242424242,0.9357575757575758,True,-2.8260869565217397,0.9999999999999999
fri_c4_500_50,0,0.4375,"LR,SVM,KNN",False,0.8823765556001606,0.9136892814130871,True,-2.3170603674540655,0.9999999999999999
fri_c4_500_50,1,0.4875,"LR,SVM,KNN",False,0.8751505419510236,0.9466077880369329,True,-1.8170144462279303,0.9999999999999999
fri_c4_500_50,2,0.4625,"LR,SVM,KNN",False,0.9064632677639501,0.9538338016860699,True,-2.229135802469137,0.9999999999999999
fri_c4_500_50,3,0.4875,"LR,SVM,KNN",False,0.9080690485748695,0.9353673223604979,True,-2.002459419576981,0.9999999999999999
fri_c4_500_50,4,0.3625,"LR,SVM,KNN",False,0.9265355279004416,0.9389803291850662,True,-2.5359999999999987,0.9999999999999999
boston_corrected,0,0.275,KNN,False,0.9513556618819777,0.9569377990430622,True,-4.667844522968196,0.9999999999999999
boston_corrected,1,0.3625,"XGB,KNN",False,0.94377990430622,0.9541467304625199,True,-4.711590296495956,0.9999999999999999
boston_corrected,2,0.275,KNN,False,0.9385964912280701,0.9421850079744817,True,-4.673181818181818,0.9999999999999999
boston_corrected,3,0.3875,"XGB,KNN",False,0.9433811802232854,0.9529505582137161,True,-4.794064748201437,0.9999999999999999
boston_corrected,4,0.2875,"XGB,KNN",False,0.939792663476874,0.9449760765550239,True,-4.686310063463283,0.9999999999999999
boston,0,0.3125,"LR,XGB",False,0.9705407586763519,0.9745762711864407,True,-4.707547169811321,0.9999999999999999
boston,1,0.3,"SVM,KNN",False,0.9616626311541566,0.9648910411622276,True,-4.673513986013988,0.9999999999999999
boston,2,0.3875,"LR,XGB",False,0.9487489911218725,0.9624697336561744,True,-4.651978417266188,0.9999999999999999
boston,3,0.2125,KNN,False,0.9842615012106537,0.9874899112187248,True,-4.755,0.9999999999999999
boston,4,0.4875,"LR,SVM,XGB,KNN",False,0.8983050847457626,0.9075867635189669,True,-4.5536980749746725,0.9999999999999999
rmftsa_ladata,0,0.2875,KNN,False,0.9619905956112853,0.9713949843260187,True,-4.589058524173029,0.9999999999999999
rmftsa_ladata,1,0.275,"XGB,KNN",False,0.9578947368421051,0.960233918128655,True,-4.713069391230312,0.9999999999999999
rmftsa_ladata,2,0.375,"RF,XGB,KNN",False,0.9733542319749217,0.9780564263322884,True,-4.704470198675495,0.9999999999999999
rmftsa_ladata,3,0.2625,KNN,False,0.9588557993730408,0.9651253918495297,True,-4.7062339880444055,0.9999999999999999
