dataset,seed,method,auc_roc,neg_brier,cv_lambda
Ionosphere,0,Best-Single,0.8871794871794871,-0.13286836234142665,1.0
Ionosphere,0,Stacking,0.8803418803418803,-0.1326439992944478,
Ionosphere,1,Equal,0.8905982905982907,-0.12892535159814356,0.0
Ionosphere,1,Perf-Weighted,0.8931623931623931,-0.12789220940883045,0.0
Ionosphere,1,Individual-Only,0.8931623931623931,-0.12789220940883045,0.0
Ionosphere,1,Interaction-Only,0.8581196581196581,-0.14327957812543826,0.0
Ionosphere,1,Coopetitive-0.5,0.9076923076923077,-0.1244764731028493,0.0
Ionosphere,1,Coopetitive-CV,0.9145299145299145,-0.1219690721871247,0.0
Ionosphere,1,Shapley,0.8965811965811966,-0.12680099646426424,0.0
Ionosphere,1,Shapley+SII,0.9068376068376068,-0.12823174736518578,0.0
Ionosphere,1,Best-Single,0.8841880341880342,-0.13365909744179366,0.0
Ionosphere,1,Stacking,0.9017094017094017,-0.1381476614213381,
Ionosphere,2,Equal,0.9367521367521368,-0.10639408590031592,1.4
Ionosphere,2,Perf-Weighted,0.9435897435897436,-0.10452595725081072,1.4
Ionosphere,2,Individual-Only,0.9435897435897436,-0.10452595725081072,1.4
Ionosphere,2,Interaction-Only,0.911965811965812,-0.12325534603567023,1.4
Ionosphere,2,Coopetitive-0.5,0.9504273504273504,-0.09904985615220673,1.4
Ionosphere,2,Coopetitive-CV,0.9461538461538461,-0.10883443919739108,1.4
Ionosphere,2,Shapley,0.9452991452991454,-0.10224411345378763,1.4
Ionosphere,2,Shapley+SII,0.9504273504273504,-0.10322612953722776,1.4
Ionosphere,2,Best-Single,0.917094017094017,-0.1146881287726358,1.4
Ionosphere,2,Stacking,0.9435897435897436,-0.11900706086335433,
German Credit,0,Equal,0.9137447405329594,-0.09530123049665878,0.8
German Credit,0,Perf-Weighted,0.9151472650771388,-0.09372722068663783,0.8
German Credit,0,Individual-Only,0.9151472650771388,-0.09372722068663783,0.8
German Credit,0,Interaction-Only,0.8661757830762039,-0.1281117837698171,0.8
German Credit,0,Coopetitive-0.5,0.9225105189340813,-0.08972786283301279,0.8
German Credit,0,Coopetitive-CV,0.9214586255259467,-0.0930454665983355,0.8
German Credit,0,Shapley,0.9181860682561944,-0.09218516226716168,0.8
German Credit,0,Shapley+SII,0.9170172978027117,-0.09788860507168277,0.8
German Credit,0,Best-Single,0.9070827489481066,-0.08458327059616973,0.8
German Credit,0,Stacking,0.9296400187003273,-0.08519408203300487,
German Credit,1,Equal,0.8986212489862125,-0.09680463581860181,0.5
German Credit,1,Perf-Weighted,0.8997798632835129,-0.09578575096164453,0.5
German Credit,1,Individual-Only,0.8997798632835129,-0.09578575096164453,0.5
German Credit,1,Interaction-Only,0.8681496929672112,-0.1248572379414805,0.5
German Credit,1,Coopetitive-0.5,0.911134283397057,-0.0859255851400975,0.5
German Credit,1,Coopetitive-CV,0.911134283397057,-0.0859255851400975,0.5
German Credit,1,Shapley,0.9016336461591935,-0.0947687564446294,0.5
German Credit,1,Shapley+SII,0.9010543390105433,-0.10144233184672859,0.5
German Credit,1,Best-Single,0.9097439462402966,-0.08629226702852827,0.5
German Credit,1,Stacking,0.905225350480825,-0.08689243376018246,
German Credit,2,Equal,0.9211079943899019,-0.0819680046450229,0.6
German Credit,2,Perf-Weighted,0.9205236091631603,-0.08137512092595763,0.6
German Credit,2,Individual-Only,0.9205236091631603,-0.08137512092595763,0.6
German Credit,2,Interaction-Only,0.9145628798503974,-0.09798458286255177,0.6
German Credit,2,Coopetitive-0.5,0.9170172978027116,-0.07803996677618304,0.6
German Credit,2,Coopetitive-CV,0.9170172978027117,-0.07787867848357755,0.6
German Credit,2,Shapley,0.9201729780271155,-0.08070864513121787,0.6
German Credit,2,Shapley+SII,0.9177185600748013,-0.08107867239008078,0.6
German Credit,2,Best-Single,0.9087190275829827,-0.0777906040501942,0.6
German Credit,2,Stacking,0.8935250116877046,-0.069794042745012,
Adult Census,0,Equal,0.9797107717259088,-0.04456841600124208,0.7
Adult Census,0,Perf-Weighted,0.9798945803486957,-0.04252646986870688,0.7
Adult Census,0,Individual-Only,0.9798945803486957,-0.04252646986870688,0.7
Adult Census,0,Interaction-Only,0.9420624408703879,-0.08015473676849823,0.7
Adult Census,0,Coopetitive-0.5,0.9786998243005812,-0.03825293165387983,0.7
Adult Census,0,Coopetitive-CV,0.9786944181646168,-0.03771620464132401,0.7
Adult Census,0,Shapley,0.9798621435329098,-0.041741752206630824,0.7
Adult Census,0,Shapley+SII,0.9449763481551561,-0.07893974398537128,0.7
Adult Census,0,Best-Single,0.9760129747263143,-0.0369119950318539,0.7
Adult Census,0,Stacking,0.9697905122313827,-0.03350013221178987,
Adult Census,1,Equal,0.9682335450736587,-0.048411834030708055,0.5
Adult Census,1,Perf-Weighted,0.9698013245033114,-0.046440345786189996,0.5
Adult Census,1,Individual-Only,0.9698013245033114,-0.046440345786189996,0.5
Adult Census,1,Interaction-Only,0.9228976888768753,-0.08700781132955829,0.5
Adult Census,1,Coopetitive-0.5,0.973045006081903,-0.04214344080495013,0.5
Adult Census,1,Coopetitive-CV,0.973045006081903,-0.04214344080495013,0.5
Adult Census,1,Shapley,0.9701040681173133,-0.04591902181100629,0.5
Adult Census,1,Shapley+SII,0.9239032301662388,-0.08658641431267013,0.5
Adult Census,1,Best-Single,0.968611974591161,-0.039865896105766296,0.5
Adult Census,1,Stacking,0.9743370725773753,-0.038867876906079055,
Adult Census,2,Equal,0.9761643465333153,-0.04607374337366527,0.2
Adult Census,2,Perf-Weighted,0.9775483173401811,-0.043768955396764,0.2
Adult Census,2,Individual-Only,0.9775483173401811,-0.043768955396764,0.2
Adult Census,2,Interaction-Only,0.912571969185025,-0.0869912960067975,0.2
Adult Census,2,Coopetitive-0.5,0.9802730098661981,-0.039301412210611765,0.2
Adult Census,2,Coopetitive-CV,0.9804892553047709,-0.03907881314358316,0.2
Adult Census,2,Shapley,0.9783159886471146,-0.04266000501801103,0.2
Adult Census,2,Shapley+SII,0.9143019326936073,-0.08639767516364427,0.2
Adult Census,2,Best-Single,0.976731990809569,-0.03908415883779526,0.2
Adult Census,2,Stacking,0.9804514123530207,-0.030043453901461833,
Australian Credit,0,Equal,0.9143162393162393,-0.11876272763017068,0.6
Australian Credit,0,Perf-Weighted,0.9177350427350427,-0.11637878796354326,0.6
Australian Credit,0,Individual-Only,0.9177350427350427,-0.11637878796354326,0.6
Australian Credit,0,Interaction-Only,0.8572649572649572,-0.15496099093009782,0.6
Australian Credit,0,Coopetitive-0.5,0.9198717948717948,-0.11079995154314298,0.6
Australian Credit,0,Coopetitive-CV,0.9196581196581196,-0.11049647313251139,0.6
Australian Credit,0,Shapley,0.9198717948717948,-0.11443373746840103,0.6
Australian Credit,0,Shapley+SII,0.9012820512820513,-0.1289727296962173,0.6
Australian Credit,0,Best-Single,0.9079059829059829,-0.11995965242385864,0.6
Australian Credit,0,Stacking,0.9153846153846154,-0.11188280004097505,
Australian Credit,1,Equal,0.8897168405365128,-0.13397611091374412,0.9
Australian Credit,1,Perf-Weighted,0.8924845646157121,-0.13235435059582254,0.9
Australian Credit,1,Individual-Only,0.8924845646157121,-0.13235435059582254,0.9
Australian Credit,1,Interaction-Only,0.8149882903981265,-0.17399802875429085,0.9
Australian Credit,1,Coopetitive-0.5,0.9003619331488184,-0.12499796779626882,0.9
Australian Credit,1,Coopetitive-CV,0.8843942942303598,-0.13652777993275445,0.9
Australian Credit,1,Shapley,0.8944006812859272,-0.13140212855764652,0.9
Australian Credit,1,Shapley+SII,0.8456461571215669,-0.15995213578164916,0.9
Australian Credit,1,Best-Single,0.8931232701724505,-0.12316201226203365,0.9
Australian Credit,1,Stacking,0.8995103257398339,-0.1227805273560297,
Australian Credit,2,Equal,0.8925213675213676,-0.13701210004856698,0.0
Australian Credit,2,Perf-Weighted,0.8933760683760684,-0.13596231314390314,0.0
Australian Credit,2,Individual-Only,0.8933760683760684,-0.13596231314390314,0.0
Australian Credit,2,Interaction-Only,0.8393162393162393,-0.16241852220240302,0.0
Australian Credit,2,Coopetitive-0.5,0.8974358974358974,-0.1320119464330927,0.0
Australian Credit,2,Coopetitive-CV,0.8980769230769231,-0.13204776320037714,0.0
Australian Credit,2,Shapley,0.8931623931623931,-0.13521436843887003,0.0
Australian Credit,2,Shapley+SII,0.874145299145299,-0.14583406385587858,0.0
