dataset,seed,method,auc_roc,neg_brier,cv_lambda
fri_c1_500_5,2,Stacking,0.9826892109500805,-0.1360062412024314,
fri_c1_500_5,3,Equal,0.9605475040257648,-0.0862290750184993,0.7
fri_c1_500_5,3,Perf-Weighted,0.9665861513687601,-0.07728493320720983,0.7
fri_c1_500_5,3,Individual-Only,0.9665861513687601,-0.07728493320720983,0.7
fri_c1_500_5,3,Interaction-Only,0.8659420289855073,-0.15638682874458623,0.7
fri_c1_500_5,3,Coopetitive-0.5,0.9734299516908212,-0.06561033296101876,0.7
fri_c1_500_5,3,Coopetitive-CV,0.9750402576489534,-0.06356834890693806,0.7
fri_c1_500_5,3,Shapley,0.9702093397745573,-0.07091198909509744,0.7
fri_c1_500_5,3,Shapley+SII,0.9472624798711756,-0.09931555757168464,0.7
fri_c1_500_5,3,Best-Single,0.9665861513687601,-0.07489625,0.7
fri_c1_500_5,3,Stacking,0.963365539452496,-0.07587092125681036,
fri_c1_500_5,4,Equal,0.9528985507246377,-0.09508619825927524,0.0
fri_c1_500_5,4,Perf-Weighted,0.9541062801932367,-0.0898976014794961,0.0
fri_c1_500_5,4,Individual-Only,0.9541062801932367,-0.0898976014794961,0.0
fri_c1_500_5,4,Interaction-Only,0.8888888888888888,-0.14984162763492248,0.0
fri_c1_500_5,4,Coopetitive-0.5,0.9549114331723028,-0.08271987231412034,0.0
fri_c1_500_5,4,Coopetitive-CV,0.9549114331723028,-0.08578274851969679,0.0
fri_c1_500_5,4,Shapley,0.9537037037037037,-0.08773288693146421,0.0
fri_c1_500_5,4,Shapley+SII,0.9045893719806762,-0.142620588742746,0.0
fri_c1_500_5,4,Best-Single,0.9589371980676329,-0.08005247265100479,0.0
fri_c1_500_5,4,Stacking,0.9561191626409018,-0.08501763740543139,
fri_c3_500_25,0,Equal,0.9155844155844155,-0.14044876558980338,0.0
fri_c3_500_25,0,Perf-Weighted,0.935064935064935,-0.11912253059732424,0.0
fri_c3_500_25,0,Individual-Only,0.935064935064935,-0.11912253059732424,0.0
fri_c3_500_25,0,Interaction-Only,0.8035714285714286,-0.18766840537808294,0.0
fri_c3_500_25,0,Coopetitive-0.5,0.9496753246753247,-0.08988286885924202,0.0
fri_c3_500_25,0,Coopetitive-CV,0.9488636363636362,-0.09447205993162892,0.0
fri_c3_500_25,0,Shapley,0.9443993506493507,-0.09658605167239742,0.0
fri_c3_500_25,0,Shapley+SII,0.9561688311688311,-0.0785990186260694,0.0
fri_c3_500_25,0,Best-Single,0.9379058441558441,-0.12324175,0.0
fri_c3_500_25,0,Stacking,0.9472402597402598,-0.07561912397389028,
fri_c3_500_25,1,Equal,0.9021915584415584,-0.13921327480716394,0.8
fri_c3_500_25,1,Perf-Weighted,0.9200487012987012,-0.118380925955276,0.8
fri_c3_500_25,1,Individual-Only,0.9200487012987012,-0.118380925955276,0.8
fri_c3_500_25,1,Interaction-Only,0.8189935064935064,-0.18063066410756634,0.8
fri_c3_500_25,1,Coopetitive-0.5,0.9354707792207793,-0.0952690115678169,0.8
fri_c3_500_25,1,Coopetitive-CV,0.9354707792207791,-0.09262792867774873,0.8
fri_c3_500_25,1,Shapley,0.9318181818181819,-0.09943333814432742,0.8
fri_c3_500_25,1,Shapley+SII,0.935064935064935,-0.09017053042836341,0.8
fri_c3_500_25,1,Best-Single,0.9512987012987013,-0.09145761281251907,0.8
fri_c3_500_25,1,Stacking,0.9322240259740259,-0.10135770720965946,
fri_c3_500_25,2,Equal,0.8754058441558441,-0.14906158564753716,1.2
fri_c3_500_25,2,Perf-Weighted,0.9001623376623377,-0.12731757952623415,1.2
fri_c3_500_25,2,Individual-Only,0.9001623376623377,-0.12731757952623415,1.2
fri_c3_500_25,2,Interaction-Only,0.7694805194805194,-0.194019081484007,1.2
fri_c3_500_25,2,Coopetitive-0.5,0.916801948051948,-0.10939066358791064,1.2
fri_c3_500_25,2,Coopetitive-CV,0.9111201298701299,-0.1085660075991087,1.2
fri_c3_500_25,2,Shapley,0.9180194805194805,-0.10994455078899477,1.2
fri_c3_500_25,2,Shapley+SII,0.9107142857142857,-0.1085605743288013,1.2
fri_c3_500_25,2,Best-Single,0.9228896103896105,-0.11383029073476791,1.2
fri_c3_500_25,2,Stacking,0.9151785714285714,-0.11785927501084766,
fri_c3_500_25,3,Equal,0.859172077922078,-0.15869281383626896,0.0
fri_c3_500_25,3,Perf-Weighted,0.8997564935064934,-0.1337702518442181,0.0
fri_c3_500_25,3,Individual-Only,0.8997564935064934,-0.1337702518442181,0.0
fri_c3_500_25,3,Interaction-Only,0.7479707792207791,-0.2038161356315989,0.0
fri_c3_500_25,3,Coopetitive-0.5,0.9249188311688311,-0.11436504545485987,0.0
fri_c3_500_25,3,Coopetitive-CV,0.9257305194805195,-0.11615811328656052,0.0
fri_c3_500_25,3,Shapley,0.9314123376623377,-0.11037447266066602,0.0
fri_c3_500_25,3,Shapley+SII,0.9180194805194806,-0.11374600942293268,0.0
fri_c3_500_25,3,Best-Single,0.9466314935064936,-0.12560900000000003,0.0
fri_c3_500_25,3,Stacking,0.9537337662337663,-0.09010002313552132,
fri_c3_500_25,4,Equal,0.8989448051948052,-0.1537441982926791,1.3
fri_c3_500_25,4,Perf-Weighted,0.9395292207792207,-0.12997534461130372,1.3
fri_c3_500_25,4,Individual-Only,0.9395292207792207,-0.12997534461130372,1.3
fri_c3_500_25,4,Interaction-Only,0.7597402597402597,-0.19995982405687712,1.3
fri_c3_500_25,4,Coopetitive-0.5,0.9545454545454546,-0.10145484870257182,1.3
fri_c3_500_25,4,Coopetitive-CV,0.9472402597402597,-0.09760710042383001,1.3
fri_c3_500_25,4,Shapley,0.9561688311688312,-0.10642417509822723,1.3
fri_c3_500_25,4,Shapley+SII,0.9472402597402597,-0.09650806268739552,1.3
fri_c3_500_25,4,Best-Single,0.9476461038961039,-0.09515708684921265,1.3
fri_c3_500_25,4,Stacking,0.9537337662337663,-0.10764865081724766,
pm10,0,Equal,0.5742296918767507,-0.252739979718961,0.6
pm10,0,Perf-Weighted,0.6010404161664665,-0.2597329767398444,0.6
pm10,0,Individual-Only,0.6010404161664665,-0.2597329767398444,0.6
pm10,0,Interaction-Only,0.5070028011204483,-0.254464819500222,0.6
pm10,0,Coopetitive-0.5,0.6042416966786714,-0.26419852963249957,0.6
pm10,0,Coopetitive-CV,0.6038415366146459,-0.26596074909899337,0.6
pm10,0,Shapley,0.6034413765506201,-0.2688381353430298,0.6
pm10,0,Shapley+SII,0.5934373749499801,-0.27198905932058287,0.6
pm10,0,Best-Single,0.6120448179271709,-0.24295775,0.6
pm10,0,Stacking,0.6042416966786714,-0.2432023965325385,
pm10,1,Equal,0.6222488995598239,-0.23743746092829238,0.0
pm10,1,Perf-Weighted,0.6290516206482594,-0.2393575483705438,0.0
pm10,1,Individual-Only,0.6290516206482594,-0.2393575483705438,0.0
pm10,1,Interaction-Only,0.5882352941176471,-0.24360315904660212,0.0
pm10,1,Coopetitive-0.5,0.6246498599439776,-0.2408630374482325,0.0
pm10,1,Coopetitive-CV,0.6290516206482594,-0.23927945826749128,0.0
pm10,1,Shapley,0.6278511404561824,-0.2408900735547604,0.0
pm10,1,Shapley+SII,0.5990396158463385,-0.24204121964021447,0.0
pm10,1,Best-Single,0.6302521008403361,-0.3014470338821411,0.0
pm10,1,Stacking,0.5570228091236494,-0.2512507178013258,
pm10,2,Equal,0.6598639455782312,-0.23027739404511627,0.1
pm10,2,Perf-Weighted,0.6578631452581033,-0.2309780227679407,0.1
pm10,2,Individual-Only,0.6578631452581033,-0.2309780227679407,0.1
pm10,2,Interaction-Only,0.5894357743097239,-0.243757358994256,0.1
pm10,2,Coopetitive-0.5,0.6494597839135654,-0.23632553671645737,0.1
pm10,2,Coopetitive-CV,0.6558623449379751,-0.23382446511538224,0.1
pm10,2,Shapley,0.6486594637855142,-0.23442883761683114,0.1
pm10,2,Shapley+SII,0.6234493797519007,-0.23587112451756562,0.1
pm10,2,Best-Single,0.664265706282513,-0.280567467212677,0.1
pm10,2,Stacking,0.6626650660264105,-0.24455539296297263,
pm10,3,Equal,0.6770708283313325,-0.22535998987101344,0.2
pm10,3,Perf-Weighted,0.6858743497398959,-0.22496441684192967,0.2
pm10,3,Individual-Only,0.6858743497398959,-0.22496441684192967,0.2
pm10,3,Interaction-Only,0.6582633053221287,-0.23133327966706435,0.2
pm10,3,Coopetitive-0.5,0.693077230892357,-0.2237113573764637,0.2
pm10,3,Coopetitive-CV,0.6926770708283313,-0.22381537367487614,0.2
pm10,3,Shapley,0.6766706682673069,-0.22923973304424744,0.2
