dataset,seed,lambda,auc_roc,neg_brier
Pima Diabetes,3,0.0,0.8522323930506258,-0.14883330920022642
Pima Diabetes,3,0.1,0.8520455819166823,-0.1487557424062601
Pima Diabetes,3,0.2,0.852606015318513,-0.14866744223079473
Pima Diabetes,3,0.3,0.8522323930506259,-0.14856669224854965
Pima Diabetes,3,0.4,0.8520455819166822,-0.1484519224758129
Pima Diabetes,3,0.5,0.8529796375864002,-0.14832248637398382
Pima Diabetes,3,0.6,0.8526060153185131,-0.14818065701680683
Pima Diabetes,3,0.7,0.8527928264524566,-0.14803644781615172
Pima Diabetes,3,0.8,0.8541005043900617,-0.1479177059885882
Pima Diabetes,3,0.9,0.8546609377918923,-0.14788045207063483
Pima Diabetes,3,1.0,0.852606015318513,-0.14795417148347717
Pima Diabetes,3,1.1,0.8522323930506258,-0.14793322252855057
Pima Diabetes,3,1.2,0.8479357369699234,-0.14858271139157872
Pima Diabetes,3,1.3,0.8436390808892209,-0.1514409744557884
Pima Diabetes,3,1.4,0.839155613674575,-0.1537404580413632
Pima Diabetes,3,1.5,0.8374743134690827,-0.1549509425469531
Pima Diabetes,3,1.6,0.8365402577993648,-0.1555934655885526
Pima Diabetes,3,1.7,0.8361666355314776,-0.15596373166455135
Pima Diabetes,3,1.8,0.8356062021296469,-0.15619460722103742
Pima Diabetes,3,1.9,0.8354193909957033,-0.1563481902661186
Pima Diabetes,3,2.0,0.8348589575938725,-0.15645578698291804
Pima Diabetes,4,0.0,0.825705212030637,-0.1624152258838714
Pima Diabetes,4,0.1,0.825705212030637,-0.16246469404665237
Pima Diabetes,4,0.2,0.8257052120306371,-0.16252590121123908
Pima Diabetes,4,0.3,0.8253315897627499,-0.16260263093751273
Pima Diabetes,4,0.4,0.8247711563609191,-0.16269974718333105
Pima Diabetes,4,0.5,0.8242107229590883,-0.16282244676236982
Pima Diabetes,4,0.6,0.8240239118251448,-0.16297189894951644
Pima Diabetes,4,0.7,0.8232766672893704,-0.16312720441133938
Pima Diabetes,4,0.8,0.8215953670838783,-0.16319026548442933
Pima Diabetes,4,0.9,0.8204745002802168,-0.1631066533977276
Pima Diabetes,4,1.0,0.8100130767793761,-0.165507805026791
Pima Diabetes,4,1.1,0.7984307864748741,-0.1710516393787697
